[affinity] requested=0x5555 set_ok=true effective=0x5555
goos: windows
goarch: amd64
pkg: inmemcache
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	10089349	       118.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	 9880389	       119.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	10212044	       119.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	 9992580	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	 9790922	       122.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	 9811849	       122.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	10085635	       119.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	 9961110	       120.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	 9940316	       115.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r100-8            	10444782	       115.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	15015784	        79.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	14888780	        79.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	14846266	       128.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	15333091	        81.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	15023793	       127.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	15268767	        79.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	14747214	       127.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	14221075	        79.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	15005494	       131.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90               	14170026	        81.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	11528805	        99.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	12089144	        97.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	11959039	        99.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	12445059	        97.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	11975366	        97.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	11868942	        98.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	11999100	        99.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=mutex/dist=zipf/mix=r90-2             	12406126	        98.55 ns/op	       0 B/op	       0 allocs/op
